prod_name,spec_list,review_score,review_count,lowest_price,prod_img
MSI GF시리즈 Sword GF76 B13VFK WIN11 32GB램,노트북 / 43.9cm(17.3인치) / 2.6kg / 윈도우11(설치) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 250nit / 주사율 : 144Hz / [CPU] 인텔 / 코어i7-13세대 / i7-13620H (2.4GHz) / [그래픽] 외장그래픽 / RTX4060 / TGP : 105W / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : DC / 배터리 : 53.5Wh / 용도 : 게임용,4.5,31,1326050,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램 프로17 17Z90TR-SD7WK,"노트북 / 43.1cm(17인치) / 1.48kg / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 144Hz / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / NPU : 13TOPS / [그래픽] 외장그래픽 / RTX4050 / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 1TB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 90Wh / 용도 : 게임용 , 그래픽작업용 , 휴대용",4.9,83,2664180,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램 프로16 16Z90TP-GA5BK,"노트북 / 40.6cm(16인치) / 1.199kg / 최대 23.5시간 / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 144Hz / [CPU] 인텔 / 코어 울트라5(S2) / 225H (4.9GHz) / NPU : 13TOPS / [그래픽] 내장그래픽 / Arc 130T / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",5.0,15,1529000,https://img.danawa.com/new/noData/img/noImg_160.gif
MSI 소드 GF76 HX B14WGK-i9 QHD,"노트북 / 43.9cm(17.3인치) / 2.7kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1440(QHD) / 밝기 : 300nit / 주사율 : 240Hz / [CPU] 인텔 / 코어i9-14세대 / i9-14900HX (5.8GHz) / [그래픽] 외장그래픽 / RTX5070 / TGP : 115W / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 1TB / 전원 : USB-PD(+DC) / 배터리 : 75Wh / 용도 : 게임용 , 그래픽작업용",4.8,7,2092380,https://img.danawa.com/new/noData/img/noImg_160.gif
ASUS Gaming V16 V3607VM-RP005,노트북 / 40.6cm(16인치) / 1.95kg / OS미포함(프리도스) / [화면] 해상도 : 1920x1200(WUXGA) / 밝기 : 300nit / 주사율 : 144Hz / [CPU] 인텔 / 코어5 / 210H (4.8GHz) / [그래픽] 외장그래픽 / RTX5060 / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 63Wh / 용도 : 게임용,4.9,13,1279000,https://img.danawa.com/new/noData/img/noImg_160.gif
MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 32GB램,노트북 / 43.9cm(17.3인치) / 2.7kg / 윈도우11(설치) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 250nit / 주사율 : 144Hz / [CPU] AMD / 라이젠7(Zen4) / 8845HS (3.8GHz) / NPU : 16TOPS / [그래픽] 외장그래픽 / RTX4060 / TGP : 105W / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : DC / 배터리 : 53.5Wh / 용도 : 게임용,4.8,7,1329980,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램 프로16 16Z90TP-GA5CK,"노트북 / 40.6cm(16인치) / 1.199kg / 최대 23.5시간 / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 144Hz / [CPU] 인텔 / 코어 울트라5(S2) / 225H (4.9GHz) / NPU : 13TOPS / [그래픽] 내장그래픽 / Arc 130T / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",5.0,54,1556180,https://img.danawa.com/new/noData/img/noImg_160.gif
"APPLE 맥북프로14 M4프로 12코어 CPU, 16코어 GPU 블랙",AI노트북 / 35.9cm(14.2인치) / 1.6kg / 최대 22시간 / macOS Sequoia / [화면] 해상도 : 3024x1964(254ppi) / 밝기 : 1000nit / 주사율 : 120Hz / [CPU] 애플(ARM) / M4 Pro / NPU : 38TOPS / [그래픽] 내장그래픽 / 16core / [구성] 램 : 24GB / 램 교체 : 불가능 / 용량 : 512GB / 전원 : USB-PD / 배터리 : 72.4Wh / 용도 : 그래픽작업용,5.0,26,2673120,https://img.danawa.com/new/noData/img/noImg_160.gif
ASUS 비보북 S 14 M5406WA-QD165,"AI노트북 / 35.56cm(14인치) / 1.3kg / 최대 17시간 / OS미포함(프리도스) / [화면] 해상도 : 1920x1200(WUXGA) / 밝기 : 400nit / 주사율 : 60Hz / [CPU] AMD / 라이젠AI 9 / HX 370 (5.1GHz) / NPU : 50TOPS / [그래픽] 내장그래픽 / Radeon 890M / 16core / [구성] 램 : 24GB / 램 교체 : 불가능 / 용량 : 512GB / 전원 : USB-PD / 배터리 : 75Wh / 용도 : 사무/인강용 , 휴대용",4.7,39,1210000,https://img.danawa.com/prod_img/500000/350/442/img/68442350_1.jpg?shrink=130:130&_v=20250516095347
MSI GF시리즈 Sword GF76 B13VFK 64GB램,노트북 / 43.9cm(17.3인치) / 2.6kg / OS미포함(프리도스) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 250nit / 주사율 : 144Hz / [CPU] 인텔 / 코어i7-13세대 / i7-13620H (2.4GHz) / [그래픽] 외장그래픽 / RTX4060 / TGP : 105W / [구성] 램 : 64GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : DC / 배터리 : 53.5Wh / 용도 : 게임용,0.0,0,1453330,https://img.danawa.com/prod_img/500000/783/109/img/19109783_1.jpg?shrink=130:130&_v=20250415123932
