prod_name,spec_list,review_score,review_count,lowest_price,prod_img
타무즈 스트라이커 TZ200K1EAA,i3-14100 / UHD 730 / (인텔) H610 / OS미포함 / 500W / 인텔 / 코어 14세대 / 코어i3 / 랩터레이크-R / DDR4 / 8GB / M.2 / 250GB / INTEL / 1Gbps 유선 / HDMI / DP포트 / D-SUB / USB3.x 5Gbps / 파워서플라이 / 미들타워 / 용도 : 사무/인강용,0.0,0,371810,https://img.danawa.com/new/noData/img/noImg_160.gif
한성컴퓨터 슈컴 R5 5500GT,5500GT / 그래픽스 7 / (AMD) A520 / OS미포함 / 500W / AMD / 라이젠 5000시리즈 / 라이젠5 / 세잔 / DDR4 / 16GB / M.2 / 512GB / AMD / 1Gbps 유선 / 파워서플라이 / 미니타워 / 용도 : 사무/인강용,4.5,6,343380,https://img.danawa.com/new/noData/img/noImg_160.gif
다나와표준PC 전문가용 250225,i7-14700KF / RTX 3050 / (인텔) B760 / OS미포함 / 850W / 인텔 / 코어 14세대 / 코어i7 / 랩터레이크-R / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러,0.0,0,1560830,https://img.danawa.com/new/noData/img/noImg_160.gif
몬스타 가츠 영상편집V2,i7-14700K / RTX 5060 / (인텔) B760 / OS미포함 / 800W / 인텔 / 코어 14세대 / 코어i7 / 랩터레이크-R / DDR5 / 64GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 20Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,2110000,https://img.danawa.com/new/noData/img/noImg_160.gif
몬스타 몬스타PC 스텔스,9950X3D / RTX 5090 / (AMD) X870 / OS미포함 / 1200W / AMD / 라이젠 9000시리즈 / 라이젠9 / 그래니트 릿지 / DDR5 / 64GB / M.2 / 2TB / NVIDIA / 그래픽 메모리 : 32GB / 5Gbps 유선 / 802.11be(Wi-Fi 7) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 40Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,7490000,https://img.danawa.com/new/noData/img/noImg_160.gif
ASRock DeskMini B660 i9-12900T 120W SSD 에즈윈,i9-12900T / UHD 그래픽스 770 / (인텔) B660 / OS미포함 / 인텔 / 코어 12세대 / 코어i9 / 엘더레이크 / DDR4 / 8GB / SSD / 128GB / INTEL / 1Gbps 유선 / HDMI / DP포트 / D-SUB / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 20Gbps / USB C타입 10Gbps / 베사홀 / DC / 미니PC / 용도 : 사무/인강용,0.0,0,1237000,https://img.danawa.com/new/noData/img/noImg_160.gif
엔피씨코리아 NEXPC 게이밍프로 E609,i5-14600KF / RTX 4090 / (인텔) B760 / OS미포함 / 1200W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 32GB / M.2 / 2TB / NVIDIA / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 용도 : 게임용,0.0,0,5337100,https://img.danawa.com/new/noData/img/noImg_160.gif
레노버 올인원PC A100 24 F0J6000JKR Win11Home,N100 (1.0GHz) / UHD 그래픽스 / 윈도우11 / 인텔 / N-시리즈 / 엘더레이크-N / DDR4 / 8GB / M.2 / 256GB / INTEL / 화면크기 : 61cm(24인치) / 1920x1080 / 광시야각 / 틸트(상하) / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / USB3.x 10Gbps / 웹캠 / 마이크 내장 / DC / 일체형 / 4.43kg / 용도 : 사무/인강용 / 구성변경상품,0.0,0,528000,https://img.danawa.com/new/noData/img/noImg_160.gif
몬스타 몬스타PC 영상편집2025,265K / RTX 5060 Ti / (인텔) B860 / OS미포함 / 850W / 인텔 / 코어울트라 시리즈2 / 코어 울트라7 / 애로우레이크 / DDR5 / 64GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 2.5Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 40Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,2450000,https://img.danawa.com/prod_img/500000/158/479/img/37479158_1.jpg?shrink=130:130&_v=20250509194341
DELL 옵티플렉스 7020 SFF i3-12100,i3-12100 / UHD 그래픽스 730 / Ubuntu / 180W / 인텔 / 코어 12세대 / 코어i3 / 엘더레이크 / DDR5 / 8GB / M.2 / 512GB / INTEL / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 5Gbps / USB C타입 5Gbps / 파워서플라이 / 슬림 / 용도 : 사무/인강용,0.0,0,469000,https://img.danawa.com/prod_img/500000/898/558/img/79558898_1.jpg?shrink=130:130&_v=20250610100422
