"id","category","prod_name","spec_list","review_score","review_count","lowest_price","prod_img","created_at"
80,desktop,영웅컴퓨터 영웅 H게이밍 2561F 225F RTX5060Ti,"225F / RTX 5060 Ti / (인텔) H810 / OS미포함 / 600W / 인텔 / 코어울트라 시리즈2 / 코어 울트라5 / 애로우레이크 / 인텔 AI Boost / 13TOPS / DDR5 / 16GB / M.2 / 512GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",0.0,0,1169900,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
81,desktop,포유컴퓨터 퍼포먼스PC 43 i5 14400,i5-14400 / UHD 730 / (인텔) H610 / OS미포함 / 600W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 16GB / M.2 / 500GB / INTEL / 1Gbps 유선 / 파워서플라이 / 미니타워 / 용도 : 사무/인강용,4.7,8,566400,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
82,desktop,컴퓨터연구소 바로사용OK 5600 RTX3050,"5600 / RTX 3050 / (AMD) A520 / 윈도우11 / 600W / AMD / 라이젠 5000시리즈 / 라이젠5 / 버미어 / DDR4 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / 파워서플라이 / 미들타워 / 어항형 / 용도 : 게임용",0.0,0,910000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
83,desktop,다나와표준PC 게임용 250719,"9600X / RTX 5070 / (AMD) B850 / OS미포함 / 850W / AMD / 라이젠 9000시리즈 / 라이젠5 / 그래니트 릿지 / DDR5 / 16GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 12GB / 1Gbps 유선 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",0.0,0,2167510,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
84,desktop,타무즈 스트라이커 TZ200K1EAA,i3-14100 / UHD 730 / (인텔) H610 / OS미포함 / 500W / 인텔 / 코어 14세대 / 코어i3 / 랩터레이크-R / DDR4 / 8GB / M.2 / 250GB / INTEL / 1Gbps 유선 / HDMI / DP포트 / D-SUB / USB3.x 5Gbps / 파워서플라이 / 미들타워 / 용도 : 사무/인강용,0.0,0,371720,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
86,desktop,피씨스토어 화이트 어항 PC 7500F RTX5060 360,"7500F / RTX 5060 / (AMD) B650 / OS미포함 / 750W / AMD / 라이젠 7000시리즈 / 라이젠5 / 라파엘 / DDR5 / 32GB / M.2 / 500GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",5.0,4,1373680,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
87,desktop,몬스타 몬스타PC 스텔스,"9950X3D / RTX 5090 / (AMD) X870 / OS미포함 / 1200W / AMD / 라이젠 9000시리즈 / 라이젠9 / 그래니트 릿지 / DDR5 / 64GB / M.2 / 2TB / NVIDIA / 그래픽 메모리 : 32GB / 5Gbps 유선 / 802.11be(Wi-Fi 7) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 40Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용",0.0,0,7490000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
88,desktop,몬스타 가츠 영상편집V2,i7-14700K / RTX 5060 / (인텔) B760 / OS미포함 / 800W / 인텔 / 코어 14세대 / 코어i7 / 랩터레이크-R / DDR5 / 64GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 20Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용,0.0,0,2110000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
626,desktop,다나와표준PC 온라인강의용 250905,"8600G / 760M / (AMD) B650 / OS미포함 / 700W / AMD / 라이젠 8000시리즈 / 라이젠5 / 피닉스 / DDR5 / 16GB / SSD / 240GB / AMD / 1Gbps 유선 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용",0.0,0,669360,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 10:41:26.161
85,desktop,한성컴퓨터 슈컴 R5 5500GT,"5500GT / 그래픽스 7 / (AMD) A520 / OS미포함 / 500W / AMD / 라이젠 5000시리즈 / 라이젠5 / 세잔 / DDR4 / 16GB / M.2 / 512GB / AMD / 1Gbps 유선 / 파워서플라이 / 미니타워 / 용도 : 사무/인강용",4.5,6,343380,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
89,desktop,ASRock DeskMini B660 i9-12900T 120W SSD 에즈윈,i9-12900T / UHD 그래픽스 770 / (인텔) B660 / OS미포함 / 인텔 / 코어 12세대 / 코어i9 / 엘더레이크 / DDR4 / 8GB / SSD / 128GB / INTEL / 1Gbps 유선 / HDMI / DP포트 / D-SUB / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 20Gbps / USB C타입 10Gbps / 베사홀 / DC / 미니PC / 용도 : 사무/인강용,0.0,0,1237000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
90,desktop,엔피씨코리아 NEXPC 게이밍프로 E609,i5-14600KF / RTX 4090 / (인텔) B760 / OS미포함 / 1200W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 32GB / M.2 / 2TB / NVIDIA / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 용도 : 게임용,0.0,0,5337010,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
